timestamp,consumption_mwh,generation_mwh,market_price_try_mwh,natural_gas_mwh,lignite_mwh,hard_coal_mwh,imported_coal_mwh,dam_hydro_mwh,run_of_river_mwh,wind_mwh,solar_mwh,geothermal_mwh,biomass_mwh,source,is_synthetic
2026-04-01 00:00:00,29050.16,32072.06,2471.04,1500.0,5159.22,3192.01,6641.03,6987.29,2260.57,4100.37,0.0,1251.13,980.42,demo,True
2026-04-01 01:00:00,26900.99,31449.9,2439.36,1500.0,5031.23,3117.24,6693.12,7050.9,2437.55,3412.35,0.0,1247.11,960.4,demo,True
2026-04-01 02:00:00,27726.15,33059.23,2339.42,1500.0,5249.96,2890.21,6615.6,6982.52,2761.0,4826.33,0.0,1284.83,948.78,demo,True
2026-04-01 03:00:00,28288.21,32744.71,2636.37,1500.0,5620.48,3029.64,6835.96,7325.35,2413.85,3804.95,0.0,1267.57,946.91,demo,True
2026-04-01 04:00:00,27472.8,32031.34,2477.13,1500.0,5495.84,2751.94,6956.49,6800.77,2427.95,3906.1,0.0,1248.24,944.0,demo,True
2026-04-01 05:00:00,29701.47,32445.66,2455.72,1500.0,5133.39,2930.4,6399.65,7019.51,2409.35,4818.67,0.0,1265.15,969.53,demo,True
2026-04-01 06:00:00,32741.99,32716.12,2763.24,1702.8,5340.04,2723.76,6786.81,6840.62,2680.64,4488.43,0.0,1198.83,954.19,demo,True
2026-04-01 07:00:00,34416.89,34438.36,2859.97,2596.57,4913.63,2556.03,6046.33,7351.05,2511.5,5317.88,982.61,1234.62,928.15,demo,True
2026-04-01 08:00:00,36291.57,36382.0,2931.03,3915.15,5389.82,3266.55,5711.43,6870.66,2471.33,4399.36,2173.82,1257.2,926.69,demo,True
2026-04-01 09:00:00,36888.97,37133.73,2825.53,3215.89,4983.98,2546.82,7139.24,7282.63,2721.83,4133.39,2872.88,1277.88,959.18,demo,True
2026-04-01 10:00:00,38769.75,38799.24,3223.27,4205.38,5379.47,2853.56,6383.32,7644.72,2627.51,4082.05,3405.38,1254.99,962.86,demo,True
2026-04-01 11:00:00,38938.12,39181.07,3100.16,4235.25,5971.96,2851.46,6588.37,7660.56,2453.41,3519.54,3673.47,1286.46,940.61,demo,True
2026-04-01 12:00:00,38414.36,38636.64,2895.95,5050.66,5051.8,2892.88,6071.17,6903.47,2422.63,4357.79,3698.5,1271.7,916.04,demo,True
2026-04-01 13:00:00,39048.23,39094.07,3037.35,3122.0,5959.93,2783.86,6055.03,7374.78,2714.16,5122.3,3736.71,1237.79,987.53,demo,True
2026-04-01 14:00:00,38533.09,39057.7,2980.7,4116.79,5327.57,2785.74,6250.47,7099.9,2582.9,4901.12,3765.56,1246.5,981.16,demo,True
2026-04-01 15:00:00,37658.49,37670.08,2963.3,3823.08,5005.1,2824.91,6725.01,7063.32,2400.69,4662.25,3015.12,1260.21,890.38,demo,True
2026-04-01 16:00:00,38627.93,39079.05,2939.05,6566.09,4993.18,2886.38,6319.21,7309.17,2378.27,4203.65,2194.13,1238.78,990.19,demo,True
2026-04-01 17:00:00,37724.95,37569.18,2991.69,4427.56,5814.89,2799.67,6382.47,7612.68,2463.97,4862.1,973.82,1288.28,943.73,demo,True
2026-04-01 18:00:00,38772.42,38996.81,2995.04,7224.98,5328.18,2787.69,6239.42,7482.68,2454.79,5301.09,0.0,1222.28,955.7,demo,True
2026-04-01 19:00:00,37455.32,37489.75,2963.74,6104.9,5052.8,2562.2,6908.03,7201.71,2363.61,5054.45,0.0,1257.9,984.15,demo,True
2026-04-01 20:00:00,36178.93,36311.13,2942.39,3959.24,5147.1,3162.46,6803.99,7522.43,2482.78,4965.17,0.0,1268.39,999.58,demo,True
2026-04-01 21:00:00,34167.44,34743.27,2761.16,4065.8,5312.0,2896.43,6330.55,6881.97,2509.99,4524.29,0.0,1242.16,980.09,demo,True
2026-04-01 22:00:00,33514.95,33702.49,2706.25,1549.98,5197.73,2837.6,6739.44,7218.18,2570.3,5395.5,0.0,1236.53,957.23,demo,True
2026-04-01 23:00:00,30512.33,31527.01,2654.84,1500.0,5289.93,2687.6,6414.17,7210.8,2834.48,3433.21,0.0,1248.1,908.73,demo,True
2026-04-02 00:00:00,28547.03,33570.04,2377.13,1500.0,5661.14,2619.35,6381.86,7417.5,2604.79,5225.9,0.0,1270.3,889.21,demo,True
2026-04-02 01:00:00,27392.49,34396.91,2320.67,1500.0,4906.73,2954.8,6482.6,7363.84,2622.15,6352.95,0.0,1237.5,976.34,demo,True
2026-04-02 02:00:00,27583.45,33016.66,2301.12,1500.0,5367.6,2771.22,6725.13,7385.52,2708.79,4344.85,0.0,1223.28,990.26,demo,True
2026-04-02 03:00:00,27895.62,33003.35,2344.91,1500.0,5181.05,2911.79,6187.73,7386.36,2624.6,5007.5,0.0,1278.76,925.56,demo,True
