timestamp,generation_mwh,generation_source
2026-04-01 00:00:00,1500.0,Natural gas
2026-04-01 01:00:00,1500.0,Natural gas
2026-04-01 02:00:00,1500.0,Natural gas
2026-04-01 03:00:00,1500.0,Natural gas
2026-04-01 04:00:00,1500.0,Natural gas
2026-04-01 05:00:00,1500.0,Natural gas
2026-04-01 06:00:00,1702.8,Natural gas
2026-04-01 07:00:00,2596.57,Natural gas
2026-04-01 08:00:00,3915.15,Natural gas
2026-04-01 09:00:00,3215.89,Natural gas
2026-04-01 10:00:00,4205.38,Natural gas
2026-04-01 11:00:00,4235.25,Natural gas
2026-04-01 12:00:00,5050.66,Natural gas
2026-04-01 13:00:00,3122.0,Natural gas
2026-04-01 14:00:00,4116.79,Natural gas
2026-04-01 15:00:00,3823.08,Natural gas
2026-04-01 16:00:00,6566.09,Natural gas
2026-04-01 17:00:00,4427.56,Natural gas
2026-04-01 18:00:00,7224.98,Natural gas
2026-04-01 19:00:00,6104.9,Natural gas
2026-04-01 20:00:00,3959.24,Natural gas
2026-04-01 21:00:00,4065.8,Natural gas
2026-04-01 22:00:00,1549.98,Natural gas
2026-04-01 23:00:00,1500.0,Natural gas
2026-04-02 00:00:00,1500.0,Natural gas
2026-04-02 01:00:00,1500.0,Natural gas
2026-04-02 02:00:00,1500.0,Natural gas
2026-04-02 03:00:00,1500.0,Natural gas
2026-04-02 04:00:00,1500.0,Natural gas
2026-04-02 05:00:00,1500.0,Natural gas
2026-04-02 06:00:00,2121.06,Natural gas
2026-04-02 07:00:00,1500.0,Natural gas
2026-04-02 08:00:00,1500.0,Natural gas
2026-04-02 09:00:00,1500.0,Natural gas
2026-04-02 10:00:00,4111.61,Natural gas
2026-04-02 11:00:00,1513.85,Natural gas
2026-04-02 12:00:00,1500.0,Natural gas
2026-04-02 13:00:00,2686.99,Natural gas
2026-04-02 14:00:00,2953.33,Natural gas
2026-04-02 15:00:00,3868.46,Natural gas
2026-04-02 16:00:00,4080.75,Natural gas
2026-04-02 17:00:00,6100.0,Natural gas
2026-04-02 18:00:00,6256.54,Natural gas
2026-04-02 19:00:00,6308.57,Natural gas
2026-04-02 20:00:00,3708.6,Natural gas
2026-04-02 21:00:00,2339.73,Natural gas
2026-04-02 22:00:00,1500.0,Natural gas
2026-04-02 23:00:00,1500.0,Natural gas
2026-04-03 00:00:00,1500.0,Natural gas
2026-04-03 01:00:00,1500.0,Natural gas
2026-04-03 02:00:00,1500.0,Natural gas
2026-04-03 03:00:00,1500.0,Natural gas
2026-04-03 04:00:00,1500.0,Natural gas
2026-04-03 05:00:00,1500.0,Natural gas
2026-04-03 06:00:00,1500.0,Natural gas
2026-04-03 07:00:00,1755.98,Natural gas
