timestamp,date,year,month,day,hour,weekday,is_weekend,consumption_mwh,generation_mwh,market_price_try_mwh,net_balance_mwh,renewable_generation_mwh,renewable_share_pct,source,is_synthetic
2026-04-01 00:00:00,2026-04-01,2026,4,1,0,Wednesday,False,29050.16,32072.06,2471.04,3021.9000000000015,15579.78,48.57742221734431,demo,True
2026-04-01 01:00:00,2026-04-01,2026,4,1,1,Wednesday,False,26900.99,31449.9,2439.36,4548.91,15108.310000000001,48.03929424258901,demo,True
2026-04-01 02:00:00,2026-04-01,2026,4,1,2,Wednesday,False,27726.15,33059.23,2339.42,5333.080000000002,16803.46,50.82834657673514,demo,True
2026-04-01 03:00:00,2026-04-01,2026,4,1,3,Wednesday,False,28288.21,32744.71,2636.37,4456.5,15758.630000000001,48.125727789313146,demo,True
2026-04-01 04:00:00,2026-04-01,2026,4,1,4,Wednesday,False,27472.8,32031.34,2477.13,4558.540000000001,15327.060000000001,47.85019921114759,demo,True
2026-04-01 05:00:00,2026-04-01,2026,4,1,5,Wednesday,False,29701.47,32445.66,2455.72,2744.1899999999987,16482.21,50.79942895290156,demo,True
2026-04-01 06:00:00,2026-04-01,2026,4,1,6,Wednesday,False,32741.99,32716.12,2763.24,-25.87000000000262,16162.710000000001,49.40289374167842,demo,True
2026-04-01 07:00:00,2026-04-01,2026,4,1,7,Wednesday,False,34416.89,34438.36,2859.97,21.470000000001164,18325.81,53.21336439946618,demo,True
2026-04-01 08:00:00,2026-04-01,2026,4,1,8,Wednesday,False,36291.57,36382.0,2931.03,90.43000000000029,18099.059999999998,49.7472926172283,demo,True
2026-04-01 09:00:00,2026-04-01,2026,4,1,9,Wednesday,False,36888.97,37133.73,2825.53,244.76000000000204,19247.79,51.833710214406146,demo,True
2026-04-01 10:00:00,2026-04-01,2026,4,1,10,Wednesday,False,38769.75,38799.24,3223.27,29.489999999997963,19977.510000000002,51.4894363910221,demo,True
2026-04-01 11:00:00,2026-04-01,2026,4,1,11,Wednesday,False,38938.12,39181.07,3100.16,242.9499999999971,19534.050000000003,49.85583599426969,demo,True
2026-04-01 12:00:00,2026-04-01,2026,4,1,12,Wednesday,False,38414.36,38636.64,2895.95,222.27999999999884,19570.13,50.65173886756198,demo,True
2026-04-01 13:00:00,2026-04-01,2026,4,1,13,Wednesday,False,39048.23,39094.07,3037.35,45.83999999999651,21173.269999999997,54.15979968317444,demo,True
2026-04-01 14:00:00,2026-04-01,2026,4,1,14,Wednesday,False,38533.09,39057.7,2980.7,524.6100000000006,20577.14,52.68395220404684,demo,True
2026-04-01 15:00:00,2026-04-01,2026,4,1,15,Wednesday,False,37658.49,37670.08,2963.3,11.590000000003783,19291.97,51.21297857610071,demo,True
2026-04-01 16:00:00,2026-04-01,2026,4,1,16,Wednesday,False,38627.93,39079.05,2939.05,451.1200000000026,18314.19,46.864470860985605,demo,True
2026-04-01 17:00:00,2026-04-01,2026,4,1,17,Wednesday,False,37724.95,37569.18,2991.69,-155.7699999999968,18144.579999999998,48.29644937685624,demo,True
2026-04-01 18:00:00,2026-04-01,2026,4,1,18,Wednesday,False,38772.42,38996.81,2995.04,224.38999999999942,17416.54,44.66144794920405,demo,True
2026-04-01 19:00:00,2026-04-01,2026,4,1,19,Wednesday,False,37455.32,37489.75,2963.74,34.43000000000029,16861.82,44.97714708687041,demo,True
2026-04-01 20:00:00,2026-04-01,2026,4,1,20,Wednesday,False,36178.93,36311.13,2942.39,132.1999999999971,17238.350000000002,47.474011411927975,demo,True
2026-04-01 21:00:00,2026-04-01,2026,4,1,21,Wednesday,False,34167.44,34743.27,2761.16,575.8299999999945,16138.5,46.45072268672465,demo,True
2026-04-01 22:00:00,2026-04-01,2026,4,1,22,Wednesday,False,33514.95,33702.49,2706.25,187.54000000000087,17377.739999999998,51.562184277778876,demo,True
2026-04-01 23:00:00,2026-04-01,2026,4,1,23,Wednesday,False,30512.33,31527.01,2654.84,1014.6799999999967,15635.320000000002,49.59341212503185,demo,True
2026-04-02 00:00:00,2026-04-02,2026,4,2,0,Thursday,False,28547.03,33570.04,2377.13,5023.010000000002,17407.7,51.85486820986808,demo,True
2026-04-02 01:00:00,2026-04-02,2026,4,2,1,Thursday,False,27392.49,34396.91,2320.67,7004.420000000002,18552.78,53.937344953369355,demo,True
2026-04-02 02:00:00,2026-04-02,2026,4,2,2,Thursday,False,27583.45,33016.66,2301.12,5433.210000000003,16652.7,50.43726409636831,demo,True
2026-04-02 03:00:00,2026-04-02,2026,4,2,3,Thursday,False,27895.62,33003.35,2344.91,5107.73,17222.78,52.18494486165798,demo,True
2026-04-02 04:00:00,2026-04-02,2026,4,2,4,Thursday,False,29137.44,33300.13,2496.37,4162.689999999999,17497.43,52.544629705649804,demo,True
