timestamp,consumption_mwh,forecast_mwh,naive_24h_mwh
2026-07-28 00:00:00,30696.21,29731.494271626976,30201.69
2026-07-28 01:00:00,28112.0,28968.514134832436,27835.75
2026-07-28 02:00:00,28726.12,27977.67763097185,27926.8
2026-07-28 03:00:00,28734.54,28907.737921595908,28544.71
2026-07-28 04:00:00,30406.56,29686.405192592585,29714.17
2026-07-28 05:00:00,31954.47,32166.5759661992,31409.34
2026-07-28 06:00:00,34669.94,33960.627044576715,33827.54
2026-07-28 07:00:00,35871.04,36263.50926596181,35433.58
2026-07-28 08:00:00,37365.82,37030.74721615961,36449.61
2026-07-28 09:00:00,39433.35,38823.352414541245,39202.01
2026-07-28 10:00:00,39740.44,39164.05347596575,39851.18
2026-07-28 11:00:00,40085.94,39129.27842041448,40153.89
2026-07-28 12:00:00,39082.93,39268.31871569496,38459.63
2026-07-28 13:00:00,38707.48,39453.75595795269,39638.41
2026-07-28 14:00:00,38988.43,39340.25077062658,39849.02
2026-07-28 15:00:00,39005.42,39418.279306612436,38708.15
2026-07-28 16:00:00,40100.15,39362.204678257345,39546.23
2026-07-28 17:00:00,40259.36,39033.48882821482,39484.78
2026-07-28 18:00:00,39228.91,39390.69231402025,40617.01
2026-07-28 19:00:00,39671.91,38262.869142720876,40007.41
2026-07-28 20:00:00,38446.26,37156.77886896979,36313.28
2026-07-28 21:00:00,35994.47,36502.512507936495,37559.84
2026-07-28 22:00:00,33263.84,33780.39465094796,33188.51
2026-07-28 23:00:00,32903.26,31796.596614479673,32476.97
2026-07-29 00:00:00,29984.15,29705.20919259259,30696.21
2026-07-29 01:00:00,28907.29,28132.822969779925,28112.0
2026-07-29 02:00:00,28153.11,28095.008990680864,28726.12
2026-07-29 03:00:00,28196.96,28025.25746710136,28734.54
2026-07-29 04:00:00,29000.48,29983.79843591269,30406.56
2026-07-29 05:00:00,32246.0,31992.738757535215,31954.47
2026-07-29 06:00:00,33294.12,34221.395117724875,34669.94
2026-07-29 07:00:00,37969.93,35219.5154324515,35871.04
2026-07-29 08:00:00,36733.08,38777.05391238699,37365.82
2026-07-29 09:00:00,37795.93,38184.58799563493,39433.35
2026-07-29 10:00:00,39701.26,39212.67318106369,39740.44
2026-07-29 11:00:00,40654.19,39050.04528219856,40085.94
2026-07-29 12:00:00,39603.35,39207.894545376024,39082.93
2026-07-29 13:00:00,39849.73,39072.539513669144,38707.48
2026-07-29 14:00:00,38105.35,39136.732152687415,38988.43
2026-07-29 15:00:00,38975.74,39394.683320004646,39005.42
2026-07-29 16:00:00,38808.28,39347.03146906456,40100.15
2026-07-29 17:00:00,38259.64,39303.24561162548,40259.36
2026-07-29 18:00:00,39429.39,39207.497417279585,39228.91
2026-07-29 19:00:00,37110.29,38256.73298862434,39671.91
2026-07-29 20:00:00,36572.8,37678.682887896815,38446.26
2026-07-29 21:00:00,35458.06,35749.642507605815,35994.47
2026-07-29 22:00:00,33267.27,33547.050876545356,33263.84
2026-07-29 23:00:00,32087.98,32542.419638602296,32903.26
